iter	Passed	Remaining
0	1	1399
1	2	1232
2	3	1153
3	4	1189
4	5	1132
5	6	1124
6	7	1090
7	8	1077
8	9	1069
9	10	1065
10	11	1050
11	12	1040
12	13	1025
13	14	1009
14	15	1003
15	17	1045
16	18	1047
17	18	1035
18	20	1034
19	21	1033
20	22	1055
21	23	1058
22	24	1052
23	25	1045
24	26	1043
25	27	1039
26	28	1034
27	29	1029
28	30	1031
29	31	1028
30	32	1029
31	33	1023
32	34	1023
33	36	1025
34	37	1024
35	38	1017
36	38	1013
37	39	1007
38	40	1005
39	41	1004
40	42	1001
41	43	997
42	44	995
43	45	992
44	46	989
45	47	985
46	48	983
47	49	983
48	50	982
49	51	982
50	52	979
51	53	977
52	54	974
53	55	971
54	56	970
55	57	967
56	58	964
57	59	962
58	60	960
59	61	957
60	62	956
61	63	957
62	64	954
63	65	953
64	66	951
65	67	948
66	68	946
67	69	947
68	70	945
69	70	941
70	71	940
71	72	939
72	73	937
73	74	937
74	75	935
75	76	934
76	77	931
77	78	930
78	79	929
79	80	929
80	81	927
81	82	924
82	83	923
83	84	921
84	85	918
85	86	917
86	87	915
87	88	913
88	88	909
89	89	907
90	90	904
91	91	902
92	92	900
93	93	897
94	94	897
95	95	896
96	95	893
97	96	888
98	97	887
99	98	885
100	99	883
101	100	882
102	101	880
103	102	879
104	102	875
105	103	874
106	104	872
107	105	871
108	106	870
109	107	868
110	108	866
111	109	864
112	110	863
113	111	863
114	112	862
115	113	861
116	113	859
117	114	858
118	115	857
119	116	855
120	117	855
121	118	853
122	119	852
123	120	850
124	121	849
125	122	848
126	123	847
127	124	848
128	125	847
129	126	846
130	127	844
131	128	842
132	129	844
133	130	843
134	131	842
135	132	841
136	133	840
137	134	838
138	135	837
139	136	836
140	137	836
141	138	834
142	139	833
143	140	832
144	141	831
145	141	828
146	142	827
147	143	826
148	144	824
149	145	824
150	146	823
151	147	821
152	148	820
153	149	818
154	149	817
155	150	815
156	151	813
157	152	812
158	153	811
159	154	812
160	155	810
161	156	809
162	157	808
163	158	807
164	159	805
165	159	803
166	161	804
167	162	803
168	163	801
169	163	800
170	164	798
171	165	797
172	166	794
173	166	792
174	167	791
175	168	790
176	169	789
177	170	788
178	171	787
179	172	785
180	173	784
181	174	783
182	175	781
183	176	781
184	177	780
185	178	779
186	179	778
187	180	778
188	181	776
189	182	775
190	182	774
191	183	773
192	185	773
193	186	772
194	186	771
195	187	769
196	188	768
197	189	767
198	190	766
199	191	765
200	192	764
201	193	763
202	194	762
203	195	761
204	196	760
205	196	758
206	198	758
207	198	757
208	199	756
209	200	755
210	201	754
211	202	753
212	203	752
213	204	752
214	205	752
215	206	750
216	207	749
217	208	748
218	209	746
219	210	745
220	211	744
221	212	743
222	213	743
223	214	742
224	215	741
225	216	741
226	217	740
227	218	740
228	219	740
229	220	739
230	221	738
231	222	737
232	223	736
233	224	736
234	225	735
235	226	733
236	227	732
237	228	731
238	229	731
239	230	730
240	231	729
241	232	727
242	233	726
243	234	725
244	235	724
245	236	723
246	236	722
247	237	721
248	238	720
249	239	719
250	240	718
251	241	717
252	242	717
253	243	716
254	244	715
255	245	713
256	246	712
257	247	712
258	248	711
259	250	711
260	251	710
261	251	709
262	252	708
263	253	707
264	254	707
265	255	706
266	256	705
267	257	704
268	258	703
269	259	702
270	260	701
271	262	701
272	263	700
273	263	699
274	264	698
275	265	697
276	266	696
277	268	696
278	269	695
279	270	694
280	271	693
281	272	692
282	272	691
283	273	690
284	275	689
285	275	688
286	276	687
287	277	686
288	278	685
289	280	685
290	281	685
291	282	684
292	283	683
293	284	682
294	284	680
295	285	679
296	286	679
297	287	678
298	288	677
299	289	676
300	290	675
301	291	673
302	292	673
303	294	673
304	295	672
305	295	671
306	296	670
307	297	669
308	298	668
309	299	667
310	300	666
311	301	665
312	302	663
313	303	662
314	304	663
315	305	662
316	306	661
317	307	660
318	308	659
319	309	658
320	310	657
321	311	656
322	312	655
323	313	654
324	314	653
325	315	652
326	316	651
327	317	650
328	318	649
329	319	648
330	320	647
331	321	646
332	322	645
333	323	645
334	324	644
335	325	643
336	326	642
337	327	640
338	328	639
339	329	638
340	330	638
341	331	637
342	332	636
343	333	635
344	334	634
345	335	633
346	336	632
347	337	632
348	338	631
349	339	630
350	340	629
351	341	628
352	342	627
353	343	626
354	344	625
355	345	624
356	346	623
357	347	622
358	348	622
359	349	621
360	350	620
361	351	619
362	352	618
363	353	617
364	354	617
365	355	615
366	356	615
367	357	614
368	358	613
369	359	612
370	360	611
371	361	610
372	362	609
373	363	608
374	364	607
375	365	606
376	366	605
377	367	605
378	368	604
379	369	602
380	370	602
381	371	600
382	372	600
383	373	599
384	374	597
385	375	596
386	376	595
387	376	594
388	377	593
389	378	592
